Scenario,Model,MSE,RMSE,MAE,R2,Used Features
Scenario 1 - All Features (No Missing),Random Forest,10.122092956384893,3.1815236847122312,0.6341726618705036,0.9731668083009362,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'recovered_los', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 1 - All Features (No Missing),Deep Learning Ensemble,11.759712007271727,3.429243649446876,0.9096412016172633,0.9688255573252902,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'recovered_los', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 1 - All Features (No Missing),Gradient Boosting,11.857015055445782,3.4434016691994827,0.9838296414115111,0.9685676115273403,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'recovered_los', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 1 - All Features (No Missing),Deep Learning,12.837929907840035,3.5830057085971876,1.0561576440179947,0.9659672524525749,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'recovered_los', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 1 - All Features (No Missing),Decision Tree,22.447122302158274,4.73783941287147,0.820863309352518,0.9404937359870615,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'recovered_los', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 1 - All Features (No Missing),SVM,53.40272830138295,7.307717037583143,2.2570471951504723,0.8584318824240659,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'recovered_los', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 1 - All Features (No Missing),AdaBoost,53.49466478302387,7.314004702146689,4.912554138534069,0.8581881631412419,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'recovered_los', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 1 - All Features (No Missing),Naive Bayes,663.8588129496403,25.765457747721857,20.7455035971223,-0.759858446839708,"['adm_category', 'adm_referral', 'adm_site', 'adm_sex', 'adm_age', 'age_cat_1', 'age_cat_2', 'adm_muac', 'adm_kg', 'adm_cm', 'adm_whz06', 'adm_waz06', 'adm_haz06', 'adm_oedema_YN', 'adm_whz06_lt_neg3', 'adm_whz06_neg2_neg3', 'adm_whz06_gt_neg2', 'adm_whzlt3', 'adm_whzgt3', 'adm_Weightlt7', 'adm_Weightgt7', 'adm_MUACgt110', 'adm_WAZltneg3', 'adm_WAZgtneg3', 'adm_cat_115', 'adm_cat_115_125', 'cured', 'defaulted', 'non_response', 'died', 'transfer_inpatient', 'avg_daily_weight_gain', 'weight_gain_cured', 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'missed_0_visit', 'missed_1_visit', 'missed_2_more_visit', 'missed_0_visit_cured', 'missed_1_visit_cured', 'missed_2_more_visit_cured', 'Screened_chw_chv', 'Screened_cg_fm', 'Cared_hf', 'age_group']"
Scenario 2 - Top 10 Selected Features (MI & RF Importance),Random Forest,20.04871477414355,4.477579119808332,0.8722432890905742,0.9468518013841098,"[ 'muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
Scenario 2 - Top 10 Selected Features (MI & RF Importance),Deep Learning Ensemble,21.81970501814612,4.6711567109385355,1.1281721238824103,0.9421569896570038,"['muac_gain_velo', 'muac_gain_cured', 'total_rutf', 'rutf_cured', 'avg_daily_weight_gain', 'weight_gain_cured', 'adm_muac', 'adm_cat_115', 'adm_category']"
